id,name,line,geometry,longitude,latitude,type,town
237164,Omet,1,POINT (-0.4736869934735695 39.35324482140709),-0.4736869934735695,39.35324482140709,metrovalencia,Picassent
237137,Paiporta,"1,2,7",POINT (-0.4180611073753368 39.43226246036189),-0.41806110737533675,39.43226246036189,metrovalencia,Paiporta
237150,Burjassot - Godella,1,POINT (-0.4119972293308535 39.513530771164035),-0.41199722933085353,39.513530771164035,metrovalencia,Burjassot
237149,Godella,1,POINT (-0.4144555629587507 39.51950458696169),-0.4144555629587507,39.51950458696169,metrovalencia,Godella
237157,Horta Vella,1,POINT (-0.4431444406472527 39.58193210726515),-0.4431444406472527,39.58193210726515,metrovalencia,Bétera
237123,Alfauir,"1,6",POINT (-0.366032988194516 39.489299813868165),-0.366032988194516,39.489299813868165,metrovalencia,Sant Llorenç - València
237115,Parc Científic,4,POINT (-0.4226219955791658 39.51514057309938),-0.4226219955791658,39.51514057309938,metrovalencia,Paterna
237116,Tomás y Valiente,4,POINT (-0.4256361123531358 39.5197716152865),-0.4256361123531358,39.5197716152865,metrovalencia,Paterna
237232,Francesc Cubells,"6,8",POINT (-0.3339729906818728 39.46324543123338),-0.33397299068187275,39.46324543123338,metrovalencia,Grao - València
237233,Grau - La Marina,"6,8",POINT (-0.3294720054933794 39.463100473242235),-0.32947200549337935,39.463100473242235,metrovalencia,Grao - València
237127,Tossal del Rei,"1,6",POINT (-0.3725369875330207 39.49595264605946),-0.37253698753302067,39.49595264605946,metrovalencia,Torrefiel - València
237209,Av. del Cid,"3,5,9",POINT (-0.3975749912937578 39.468219796211656),-0.39757499129375784,39.468219796211656,metrovalencia,València
237195,Llíria,2,POINT (-0.5902777912103784 39.62284092097164),-0.5902777912103784,39.62284092097164,metrovalencia,Llíria
237155,Àngel Guimerà,"1,2,3,5,9",POINT (-0.3850361106717916 39.4703026212431),-0.3850361106717916,39.4703026212431,metrovalencia,Arrancapins - València
237181,Campament,2,POINT (-0.4353230003048908 39.495845834205404),-0.43532300030489085,39.495845834205404,metrovalencia,Paterna
237134,Picanya,"1,2,7",POINT (-0.4371583466428395 39.43312076720112),-0.43715834664283953,39.43312076720112,metrovalencia,Picanya
237219,Albalat dels Sorells,3,POINT (-0.3482888941423446 39.54526523737024),-0.3482888941423446,39.54526523737024,metrovalencia,Albalat dels Sorells
237102,Reus,4,POINT (-0.3817070127981355 39.4859657684198),-0.3817070127981355,39.4859657684198,metrovalencia,Marxalenes - València
237104,Trànsits,4,POINT (-0.3872583214747722 39.4895630282213),-0.3872583214747722,39.4895630282213,metrovalencia,Benicalap - València
237105,Benicalap,4,POINT (-0.3909277913244516 39.49002842050058),-0.39092779132445155,39.49002842050058,metrovalencia,Benicalap - València
237095,La Carrasca,"1,4,6",POINT (-0.3448249995342744 39.479660074044666),-0.3448249995342744,39.479660074044666,metrovalencia,La Carrasca - València
237129,Dr. Lluch,"4,6",POINT (-0.3281527763083297 39.46930698572537),-0.3281527763083297,39.46930698572537,metrovalencia,Cabanyal-Canyamelar - València
237096,Universitat Politècnica,"1,4,6",POINT (-0.3504999876195505 39.48131565217615),-0.35049998761955053,39.48131565217615,metrovalencia,La Carrasca - València
237214,Alboraia Peris Aragó,"3,9",POINT (-0.3523277634823597 39.50076297918577),-0.3523277634823597,39.50076297918577,metrovalencia,Alboraia
237193,Fondo de Benaguasil,2,POINT (-0.5780805350632693 39.59272388566321),-0.5780805350632693,39.59272388566321,metrovalencia,Benaguasil
237191,Gallipont - Torre del Virrei,2,POINT (-0.5419166688737088 39.56866459072798),-0.5419166688737088,39.56866459072798,metrovalencia,L'Eliana
237184,Fuente del Jarro,2,POINT (-0.4645166693571574 39.5111732875743),-0.46451666935715735,39.5111732875743,metrovalencia,Paterna
237171,L'Alcúdia,1,POINT (-0.5102638606951693 39.193813363569774),-0.5102638606951693,39.193813363569774,metrovalencia,L'Alcúdia
237162,Sant Ramon,1,POINT (-0.4672611054062144 39.384864846247936),-0.4672611054062144,39.384864846247936,metrovalencia,Picassent
