municipio,tipo,id_x,nombre_x,geometry_x,longitud_x,latitud_x,linea_x,intento1_x,indices,id_y,nombre_y,linea_y,geometry_y,longitud_y,latitud_y,intento1_y
Tormos,emt,242.0,Dr. Peset Aleixandre - Guardacostes,POINT (-0.382922228294837 39.48998199984601),-0.3829222282948374,39.48998199984601,,Dr. Peset Aleixandre - Guardacostes,25,242.0,Dr. Peset Aleixandre - Guardacostes (242),"60,64,90",POINT (-0.3829222819940433 39.48998211816957),-0.3829222819940433,39.48998211816957,Dr. Peset Aleixandre - Guardacostes 
Tormos,emt,325.0,Constituci� - Dr. Peset Aleixandre,POINT (-0.374452740783936 39.49152962561542),-0.37445274078393626,39.49152962561542,,Constituci� - Dr. Peset Aleixandre,26,2315.0,Roger de Llòria - Colón (2315),40,POINT (-0.3725957521101151 39.46913251637978),-0.37259575211011514,39.46913251637978,Roger de Llòria - Colón 
Tormos,emt,325.0,Constituci� - Dr. Peset Aleixandre,POINT (-0.374452740783936 39.49152962561542),-0.37445274078393626,39.49152962561542,,Constituci� - Dr. Peset Aleixandre,26,325.0,Constitució - Dr. Peset Aleixandre (325),"16,26,6,N10",POINT (-0.3744527015329163 39.49152974184241),-0.37445270153291627,39.49152974184241,Constitució - Dr. Peset Aleixandre 
Sant Antoni,emt,206.0,Primat Reig - Bilbao,POINT (-0.371558840945691 39.49014270271203),-0.3715588409456911,39.49014270271203,,Primat Reig - Bilbao,27,206.0,Primat Reig - Bilbao (206),"90,N2",POINT (-0.3715588686786924 39.490142892523416),-0.3715588686786924,39.490142892523416,Primat Reig - Bilbao 
Sant Antoni,emt,207.0,Primat Reig - Almassora,POINT (-0.369074074389299 39.48827489614073),-0.36907407438929907,39.48827489614073,,Primat Reig - Almassora,28,2312.0,Estació del Nord - Sant Pau (2312),"62,67,73,9,N3,N7",POINT (-0.3778266392067869 39.468393565184314),-0.3778266392067869,39.468393565184314,Estació del Nord - Sant Pau 
Benimaclet,emt,1231.0,Dolores Marqu�s - Benicarl�,POINT (-0.363394609990823 39.48567424928379),-0.3633946099908227,39.48567424928379,,Dolores Marqu�s - Benicarl�,29,2301.0,Félix del Río - Camí de Montcada (2301),60,POINT (-0.3794747799932956 39.49198776163449),-0.37947477999329565,39.49198776163449,Félix del Río - Camí de Montcada 
Benimaclet,emt,1233.0,Dolores Marqu�s - Assagador d'Alboraia,POINT (-0.362043079748276 39.488281969006714),-0.36204307974827554,39.488281969006714,,Dolores Marqu�s - Assagador d'Alboraia,30,2338.0,País Valencià - València (2338),9,POINT (-0.3814167408394351 39.42642679040525),-0.3814167408394351,39.42642679040525,País Valencià - València 
Benimaclet,emt,1233.0,Dolores Marqu�s - Assagador d'Alboraia,POINT (-0.362043079748276 39.488281969006714),-0.36204307974827554,39.488281969006714,,Dolores Marqu�s - Assagador d'Alboraia,30,1233.0,Dolores Marqués - Assagador d'Alboraia (1233),"12,70",POINT (-0.3620430866045035 39.48828209528488),-0.36204308660450346,39.48828209528488,Dolores Marqués - Assagador d'Alboraia 
Benimaclet,emt,1679.0,Primat Reig - Conca Tramoyeres,POINT (-0.360474513075941 39.48228453283069),-0.3604745130759408,39.48228453283069,,Primat Reig - Conca Tramoyeres,31,2340.0,País Valencià - Pintor Sorolla (2340),9,POINT (-0.3847701114340046 39.427966203019466),-0.38477011143400464,39.427966203019466,País Valencià - Pintor Sorolla 
Benimaclet,emt,177.0,Emili Bar� - Reverend Rafael Tramoyeres,POINT (-0.36205010254655 39.485119784431234),-0.3620501025465501,39.485119784431234,,Emili Bar� - Reverend Rafael Tramoyeres,32,2341.0,Passeig Marítim - Mediterrània (2341),32,POINT (-0.3245759842700254 39.46830732255087),-0.32457598427002543,39.46830732255087,Passeig Marítim - Mediterrània 
