Geo Point;Geo Shape;codbarrio;nombre;coddistbar;coddistrit;codbar;transporte;stop_id;stop_name;stop_desc;X;Y;zone_id
39.49211284810277, -0.37546536572996697;"{""coordinates"": [-0.375465365729967, 39.49211284810277], ""type"": ""Point""}";2;TORREFIEL;152;15;152;emt;1199;Comte de Torrefiel - Escultor Piquer;C CONDE DE TORREFIEL 6 - VAL�NCIA;725695.65;4374677.92;
39.49122148612193, -0.3823089138321865;"{""coordinates"": [-0.382308913832187, 39.49122148612193], ""type"": ""Point""}";2;TORREFIEL;152;15;152;emt;268;Joan XXIII (par) - F�lix del R�o;AV JUAN XXIII 10 - VAL�NCIA;725109.94;4374561.84;
39.493478972011324, -0.37453377642306235;"{""coordinates"": [-0.374533776423062, 39.493478972011324], ""type"": ""Point""}";2;TORREFIEL;152;15;152;emt;272;Sant Dom�nec Savio - Mestre Mar�al;C SANTO DOMINGO SAVIO 13 - VAL�NCIA;725771.3500000001;4374831.9;
39.491466339360834, -0.3785764186095099;"{""coordinates"": [-0.37857641860951, 39.491466339360834], ""type"": ""Point""}";2;TORREFIEL;152;15;152;emt;279;Cam� de Montcada - Dr. Peset Aleixandre;CAMI MONCADA 50 - VAL�NCIA;725430.17;4374598.36;
39.49649233130628, -0.380957266863288;"{""coordinates"": [-0.380957266863288, 39.49649233130628], ""type"": ""Point""}";2;TORREFIEL;152;15;152;emt;281;Cam� de Montcada (par) - Alemany;CAMI MONCADA 121 (DAVANT) - VAL�NCIA;725209.17;4375150.3;
39.4917537906104, -0.37485264415691594;"{""coordinates"": [-0.374852644156916, 39.4917537906104], ""type"": ""Point""}";4;TORMOS;054;5;54;emt;244;Dr. Peset Aleixandre - Constituci�;AV DOCTOR PESET ALEIXANDRE 5 - VAL�NCIA;725749.51;4374639.6;
39.48882816007786, -0.3750147084315092;"{""coordinates"": [-0.375014708431509, 39.48882816007786], ""type"": ""Point""}";5;SANT ANTONI;055;5;55;emt;323;Sagunt - Pare Urb�;C SAGUNTO 168 - VAL�NCIA;725745.04;4374314.44;
39.49157574754545, -0.37395430003699254;"{""coordinates"": [-0.373954300036993, 39.49157574754545], ""type"": ""Point""}";5;SANT ANTONI;055;5;55;emt;324;Sagunt - Don Bosco;C SAGUNTO 192 - VAL�NCIA;725827.3500000001;4374622.09;
39.48485171700381, -0.36233332864935913;"{""coordinates"": [-0.362333328649359, 39.48485171700381], ""type"": ""Point""}";1;BENIMACLET;141;14;141;metrovlc;12;Benimaclet;NULL;726848.7000000001;4373904.92;A
39.48667157492595, -0.3628413007556772;"{""coordinates"": [-0.362841300755677, 39.48667157492595], ""type"": ""Point""}";1;BENIMACLET;141;14;141;emt;1232;Dolores Marqu�s - Reverend Jos� Mar�a Pinazo;C DOLORES MARQUES 13 - VAL�NCIA;726799.09;4374105.65;
39.486086528096564, -0.3656364600740752;"{""coordinates"": [-0.365636460074075, 39.486086528096564], ""type"": ""Point""}";1;BENIMACLET;141;14;141;emt;1680;Primat Reig - Viver;AV PRIMADO REIG 103 - VAL�NCIA;726560.57;4374033.67;
39.48670468902817, -0.36126424082901526;"{""coordinates"": [-0.361264240829015, 39.48670468902817], ""type"": ""Point""}";1;BENIMACLET;141;14;141;emt;178;Emili Bar� - Manuel Castellanos;C EMILIO BARO 40 - VAL�NCIA;726934.63;4374113.3;
39.48119613406527, -0.35268272619047586;"{""coordinates"": [-0.352682726190476, 39.48119613406527], ""type"": ""Point""}";1;BENIMACLET;141;14;141;emt;1901;Catalunya - Vicent Zaragoz�;AV CATALU�A 21 - VAL�NCIA;727690.73;4373523.5;
39.48699362595993, -0.36789071126268336;"{""coordinates"": [-0.367890711262683, 39.48699362595993], ""type"": ""Point""}";1;BENIMACLET;141;14;141;emt;215;Alboraia - Primat Reig;C ALBORAYA 74 - VAL�NCIA;726363.73;4374128.69;
