Id. Parada;Cod. Via / Cod. Vía;Num. Portal;Suprimida;Denominació / Denominación;Línies / Líneas;Pròximes Arribades / Proximas Llegadas;geo_shape;geo_point_2d
342.0;34860.0;2;0;Guadalaviar - Sagunt (342);79,94,95;http://www.emtvalencia.es/QR.php?sec=est&p=342;"{""coordinates"": [-0.3754961789160185, 39.482006220611204], ""type"": ""Point""}";39.482006220611204, -0.3754961789160185
343.0;43380.0;2;0;El Pla de la Saïdia - Constitució (343);79,94,95;http://www.emtvalencia.es/QR.php?sec=est&p=343;"{""coordinates"": [-0.37776678586373685, 39.48292394659387], ""type"": ""Point""}";39.48292394659387, -0.37776678586373685
370.0;2400.0;27;0;Campanar - Pius XII (370);90;http://www.emtvalencia.es/QR.php?sec=est&p=370;"{""coordinates"": [-0.39323194066372796, 39.48042099901838], ""type"": ""Point""}";39.48042099901838, -0.39323194066372796
428.0;42090.0;4;0;Llorca - Pérez Galdós (428);72,N5;http://www.emtvalencia.es/QR.php?sec=est&p=428;"{""coordinates"": [-0.3920749248766163, 39.46848171976078], ""type"": ""Point""}";39.46848171976078, -0.3920749248766163
436.0;33900.0;39;0;Jesús (436);90;http://www.emtvalencia.es/QR.php?sec=est&p=436;"{""coordinates"": [-0.38424870165200703, 39.45908217049384], ""type"": ""Point""}";39.45908217049384, -0.38424870165200703
658.0;31740.0;88;0;Font d'en Corts (parell) - Roig de lagarda (658);14;http://www.emtvalencia.es/QR.php?sec=est&p=658;"{""coordinates"": [-0.3582573892184202, 39.44559255023338], ""type"": ""Point""}";39.44559255023338, -0.3582573892184202
663.0;;23;0;el Tremolar - Crist del Refugi (663);14;http://www.emtvalencia.es/QR.php?sec=est&p=663;"{""coordinates"": [-0.3611437611019245, 39.42362186950453], ""type"": ""Point""}";39.42362186950453, -0.3611437611019245
665.0;;5;0;Crist del Refugi - Ctra. Del Pí (665);14;http://www.emtvalencia.es/QR.php?sec=est&p=665;"{""coordinates"": [-0.36413090540161985, 39.42628450975147], ""type"": ""Point""}";39.42628450975147, -0.36413090540161985
1085.0;81310.0;16;0;Aragó - Xile (1085);10,12,79,93,N1;http://www.emtvalencia.es/QR.php?sec=est&p=1085;"{""coordinates"": [-0.358289505035946, 39.47017288205743], ""type"": ""Point""}";39.47017288205743, -0.358289505035946
1110.0;24420.0;6;0;Dr. Manuel Candela (parell) - Port (1110);30,40;http://www.emtvalencia.es/QR.php?sec=est&p=1110;"{""coordinates"": [-0.35094725771495894, 39.46597126822129], ""type"": ""Point""}";39.46597126822129, -0.35094725771495894
814.0;38250.0;14;0;Jesús - Pare Jofré (814);10,11,27,63,67,71,9,N3,N6;http://www.emtvalencia.es/QR.php?sec=est&p=814;"{""coordinates"": [-0.38180969755750815, 39.46817229485698], ""type"": ""Point""}";39.46817229485698, -0.38180969755750815
674.0;31740.0;57;0;Font d'en Corts - Casa de Roc (674);14;http://www.emtvalencia.es/QR.php?sec=est&p=674;"{""coordinates"": [-0.36067152486129034, 39.44871738846159], ""type"": ""Point""}";39.44871738846159, -0.36067152486129034
690.0;33630.0;16;0;Germanies - Castelló (690);80,92,93;http://www.emtvalencia.es/QR.php?sec=est&p=690;"{""coordinates"": [-0.37500983890619694, 39.464579907712775], ""type"": ""Point""}";39.464579907712775, -0.37500983890619694
712.0;46320.0;BARDISSA CÁNOVAS (PAR);0;Plaça de Cánovas (712);79,92,93,N1;http://www.emtvalencia.es/QR.php?sec=est&p=712;"{""coordinates"": [-0.365597822724352, 39.4681453547292], ""type"": ""Point""}";39.4681453547292, -0.365597822724352
717.0;12960.0;44;0;Cadis - Puerto Rico (717);7,N7;http://www.emtvalencia.es/QR.php?sec=est&p=717;"{""coordinates"": [-0.3736885919328791, 39.46186663193128], ""type"": ""Point""}";39.46186663193128, -0.3736885919328791
603.0;47310.0;41;0;Maties Perelló - Lluís de Santàngel (603);15,90;http://www.emtvalencia.es/QR.php?sec=est&p=603;"{""coordinates"": [-0.36645183481281635, 39.462143173048815], ""type"": ""Point""}";39.462143173048815, -0.36645183481281635
634.0;34500.0;46 (DAVANT);0;Gravador Jordán - Escultor Pastor (634);13,7,N7;http://www.emtvalencia.es/QR.php?sec=est&p=634;"{""coordinates"": [-0.3675166120953084, 39.44431934801419], ""type"": ""Point""}";39.44431934801419, -0.3675166120953084
638.0;7590.0;47;0;Ausiàs March - Algímia d'Alfara (638);7,N7;http://www.emtvalencia.es/QR.php?sec=est&p=638;"{""coordinates"": [-0.37165523534006695, 39.4516065501464], ""type"": ""Point""}";39.4516065501464, -0.37165523534006695
481.0;41640.0;4;0;Linares - Pérez Galdós (481);70,93;http://www.emtvalencia.es/QR.php?sec=est&p=481;"{""coordinates"": [-0.39233730232729863, 39.46898095751243], ""type"": ""Point""}";39.46898095751243, -0.39233730232729863
504.0;73920.0;7;0;Hospital General (504);70,73,95,99;http://www.emtvalencia.es/QR.php?sec=est&p=504;"{""coordinates"": [-0.40549710174393877, 39.46866586258445], ""type"": ""Point""}";39.46866586258445, -0.40549710174393877
510.0;6390.0;41 (DAVANT);0;Arxiduc Carles - Enguera (510);72,N5;http://www.emtvalencia.es/QR.php?sec=est&p=510;"{""coordinates"": [-0.3949176841785839, 39.465083512658076], ""type"": ""Point""}";39.465083512658076, -0.3949176841785839
539.0;6390.0;82;0;Arxiduc Carles - Puebla de Valverde (539);72,73,N5;http://www.emtvalencia.es/QR.php?sec=est&p=539;"{""coordinates"": [-0.4011475146752728, 39.459509044600196], ""type"": ""Point""}";39.459509044600196, -0.4011475146752728
10.0;24360.0;99 (DAVANT);0;Mediterrani (10);19,92;http://www.emtvalencia.es/QR.php?sec=est&p=10;"{""coordinates"": [-0.3283055767526645, 39.46723369413599], ""type"": ""Point""}";39.46723369413599, -0.3283055767526645
907.0;;S/N (KARL MARX);0;Guadalquivir - Karl Marx (907);14,9;http://www.emtvalencia.es/QR.php?sec=est&p=907;"{""coordinates"": [-0.37703429462947446, 39.43051990426973], ""type"": ""Point""}";39.43051990426973, -0.37703429462947446
697.0;30000.0;67;0;Jardí Botànic (697);60,62,63,64,79,92,N3;http://www.emtvalencia.es/QR.php?sec=est&p=697;"{""coordinates"": [-0.3888912529439532, 39.47534854008927], ""type"": ""Point""}";39.47534854008927, -0.3888912529439532
704.0;62670.0;61;0;Prefectura superior de Policia (704);64,79,92;http://www.emtvalencia.es/QR.php?sec=est&p=704;"{""coordinates"": [-0.3840101965526302, 39.468463790176756], ""type"": ""Point""}";39.468463790176756, -0.3840101965526302
723.0;38670.0;42;0;Regne de València - Lluís Santàngel (723);19;http://www.emtvalencia.es/QR.php?sec=est&p=723;"{""coordinates"": [-0.3691866955221844, 39.46386437267184], ""type"": ""Point""}";39.46386437267184, -0.3691866955221844
