gid;Códi / Código;Nom / Nombre;Tipus / Tipo;Línia / Línea;Pròximes Arribades / Próximas Llegadas;proximes_llegadas;geo_shape;geo_point_2d
237129;83;Dr. Lluch;1;4,6;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=83&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=83&lang=va;"{""coordinates"": [-0.3281527763083297, 39.46930698572537], ""type"": ""Point""}";39.46930698572537, -0.3281527763083297
237096;89;Universitat Politècnica;1;1,4,6;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=89&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=89&lang=va;"{""coordinates"": [-0.35049998761955053, 39.48131565217615], ""type"": ""Point""}";39.48131565217615, -0.35049998761955053
237214;9;Alboraia Peris Aragó;1;3,9;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=9&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=9&lang=va;"{""coordinates"": [-0.3523277634823597, 39.50076297918577], ""type"": ""Point""}";39.50076297918577, -0.3523277634823597
237193;69;Fondo de Benaguasil;1;2;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=69&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=69&lang=va;"{""coordinates"": [-0.5780805350632693, 39.59272388566321], ""type"": ""Point""}";39.59272388566321, -0.5780805350632693
237191;201;Gallipont - Torre del Virrei;1;2;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=201&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=201&lang=va;"{""coordinates"": [-0.5419166688737088, 39.56866459072798], ""type"": ""Point""}";39.56866459072798, -0.5419166688737088
237184;62;Fuente del Jarro;1;2;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=62&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=62&lang=va;"{""coordinates"": [-0.46451666935715735, 39.5111732875743], ""type"": ""Point""}";39.5111732875743, -0.46451666935715735
237171;39;L'Alcúdia;1;1;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=39&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=39&lang=va;"{""coordinates"": [-0.5102638606951693, 39.193813363569774], ""type"": ""Point""}";39.193813363569774, -0.5102638606951693
237162;48;Sant Ramon;1;1;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=48&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=48&lang=va;"{""coordinates"": [-0.4672611054062144, 39.384864846247936], ""type"": ""Point""}";39.384864846247936, -0.4672611054062144
237106;98;Garbí;1;4;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=98&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=98&lang=va;"{""coordinates"": [-0.3945111033066965, 39.4922905363387], ""type"": ""Point""}";39.4922905363387, -0.3945111033066965
237107;99;Florista;1;4;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=99&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=99&lang=va;"{""coordinates"": [-0.39681667052620695, 39.49443439623788], ""type"": ""Point""}";39.49443439623788, -0.39681667052620695
237235;126;Neptú;1;8;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=126&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=126&lang=va;"{""coordinates"": [-0.3258508438284417, 39.463253060287585], ""type"": ""Point""}";39.463253060287585, -0.3258508438284417
237212;11;Machado;1;3,5,7,9;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=11&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=11&lang=va;"{""coordinates"": [-0.35879445043981906, 39.49243168035884], ""type"": ""Point""}";39.49243168035884, -0.35879445043981906
237201;120;Roses;1;3,5,9;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=120&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=120&lang=va;"{""coordinates"": [-0.46723610118282954, 39.49264911773043], ""type"": ""Point""}";39.49264911773043, -0.46723610118282954
237131;23;Amistat;1;5,7;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=23&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=23&lang=va;"{""coordinates"": [-0.35039445791104473, 39.47033313859402], ""type"": ""Point""}";39.47033313859402, -0.35039445791104473
237132;24;Aragó;1;5,7;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=24&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=24&lang=va;"{""coordinates"": [-0.3581166561927953, 39.47262577229274], ""type"": ""Point""}";39.47262577229274, -0.3581166561927953
237175;35;Castelló;1;1;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=35&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=35&lang=va;"{""coordinates"": [-0.5160138604081964, 39.08400730254416], ""type"": ""Point""}";39.08400730254416, -0.5160138604081964
